Transaction_ID,Customer_ID,Card_Category,Quarter,Expense_Type,Use_Method,Transaction_Amount,Interest_Earned,Annual_Fee
71,814,Gold,Q2,Travel,Swipe,359.55,5.39,120
72,452,Blue,Q2,Grocery,Online,174.9,2.62,50
73,206,Blue,Q1,Entertainment,Chip,75.68,1.14,50
74,590,Blue,Q4,Entertainment,Chip,265.16,3.98,50
75,16,Silver,Q3,Entertainment,Swipe,302.65,4.54,75
76,327,Blue,Q2,Food,Chip,21.85,0.33,50
77,608,Blue,Q2,Food,Chip,218.71,3.28,50
78,659,Silver,Q4,Travel,Swipe,420.13,6.3,75
79,2,Blue,Q4,Grocery,Swipe,856.35,12.85,50
80,10,Blue,Q1,Grocery,Chip,302.49,4.54,50
81,434,Blue,Q4,Grocery,Swipe,540.38,8.11,50
82,125,Silver,Q1,Food,Online,121.88,1.83,75
83,81,Blue,Q1,Travel,Swipe,241.2,3.62,50
84,485,Gold,Q4,Grocery,Swipe,96.54,1.45,120
85,652,Silver,Q4,Bills,Swipe,239.12,3.59,75
86,838,Blue,Q4,Fuel,Swipe,203.6,3.05,50
87,150,Blue,Q4,Entertainment,Swipe,124.32,1.86,50
88,800,Blue,Q4,Entertainment,Swipe,313.55,4.7,50
89,873,Gold,Q1,Bills,Online,146.52,2.2,120
90,340,Gold,Q2,Grocery,Chip,728.54,10.93,120
91,129,Blue,Q3,Travel,Swipe,224.4,3.37,50
92,438,Gold,Q3,Travel,Swipe,405.03,6.08,120
93,751,Blue,Q1,Food,Swipe,279.37,4.19,50
94,501,Blue,Q1,Grocery,Chip,71.82,1.08,50
95,58,Gold,Q2,Travel,Swipe,45.89,0.69,120
96,198,Silver,Q4,Grocery,Swipe,413.14,6.2,75
97,211,Blue,Q1,Entertainment,Swipe,638.27,9.57,50
98,914,Silver,Q3,Entertainment,Chip,271.74,4.08,75
99,902,Platinum,Q4,Food,Swipe,257.12,3.86,200
100,45,Silver,Q1,Entertainment,Chip,333.01,5.0,75
101,97,Gold,Q4,Grocery,Online,180.0,2.7,120
102,279,Silver,Q3,Bills,Swipe,745.3,11.18,75
103,535,Blue,Q4,Food,Swipe,210.55,3.16,50
104,410,Gold,Q1,Bills,Swipe,337.96,5.07,120
105,461,Blue,Q1,Grocery,Swipe,183.92,2.76,50
106,391,Gold,Q3,Food,Swipe,549.02,8.24,120
107,847,Blue,Q2,Bills,Swipe,97.63,1.46,50
108,44,Silver,Q2,Food,Chip,40.31,0.6,75
109,27,Blue,Q4,Grocery,Swipe,119.34,1.79,50
110,794,Blue,Q1,Travel,Swipe,748.58,11.23,50
111,97,Blue,Q1,Food,Swipe,217.21,3.26,50
112,975,Platinum,Q3,Travel,Swipe,161.34,2.42,200
113,548,Platinum,Q3,Grocery,Swipe,617.15,9.26,200
114,621,Blue,Q1,Food,Swipe,374.75,5.62,50
115,567,Platinum,Q3,Food,Swipe,400.42,6.01,200
116,704,Gold,Q2,Travel,Chip,197.79,2.97,120
117,219,Silver,Q2,Entertainment,Swipe,45.22,0.68,75
118,185,Blue,Q4,Travel,Chip,142.81,2.14,50
119,69,Gold,Q3,Travel,Swipe,82.04,1.23,120
120,829,Blue,Q4,Travel,Swipe,682.0,10.23,50
121,130,Gold,Q3,Grocery,Swipe,110.61,1.66,120
122,567,Gold,Q3,Fuel,Chip,146.56,2.2,120
123,890,Gold,Q2,Travel,Swipe,180.35,2.71,120
124,609,Silver,Q1,Food,Swipe,226.07,3.39,75
125,848,Blue,Q3,Bills,Swipe,522.57,7.84,50
126,599,Blue,Q3,Entertainment,Swipe,404.87,6.07,50
127,806,Blue,Q3,Travel,Swipe,195.34,2.93,50
128,631,Blue,Q1,Travel,Chip,568.49,8.53,50
129,720,Blue,Q4,Entertainment,Swipe,372.07,5.58,50
130,334,Silver,Q4,Travel,Chip,308.93,4.63,75
131,925,Gold,Q3,Food,Swipe,174.86,2.62,120
132,154,Blue,Q3,Fuel,Swipe,728.41,10.93,50
133,547,Blue,Q4,Travel,Swipe,223.82,3.36,50
134,79,Blue,Q4,Entertainment,Swipe,160.17,2.4,50
135,579,Blue,Q2,Travel,Swipe,467.25,7.01,50
136,855,Blue,Q3,Grocery,Chip,156.36,2.35,50
137,413,Silver,Q4,Food,Swipe,967.62,14.51,75
138,546,Blue,Q2,Food,Chip,392.72,5.89,50
139,609,Silver,Q1,Fuel,Chip,181.1,2.72,75
140,169,Blue,Q3,Grocery,Swipe,675.46,10.13,50
141,681,Gold,Q4,Grocery,Chip,192.23,2.88,120
142,663,Gold,Q3,Fuel,Swipe,415.72,6.24,120
143,583,Platinum,Q2,Bills,Swipe,103.85,1.56,200
144,515,Gold,Q4,Travel,Swipe,671.21,10.07,120
145,314,Gold,Q1,Grocery,Swipe,74.26,1.11,120
146,32,Gold,Q1,Bills,Chip,373.11,5.6,120
147,287,Silver,Q2,Bills,Chip,929.39,13.94,75
148,594,Blue,Q1,Food,Swipe,329.79,4.95,50
149,43,Blue,Q1,Travel,Swipe,217.2,3.26,50
150,903,Blue,Q1,Food,Swipe,341.23,5.12,50
151,617,Silver,Q1,Entertainment,Chip,964.03,14.46,75
152,1,Blue,Q1,Food,Swipe,388.8,5.83,50
153,573,Gold,Q1,Grocery,Swipe,233.83,3.51,120
154,270,Platinum,Q1,Grocery,Chip,841.18,12.62,200
155,180,Blue,Q4,Travel,Swipe,158.58,2.38,50
156,736,Blue,Q1,Bills,Online,281.18,4.22,50
157,518,Platinum,Q4,Grocery,Swipe,139.97,2.1,200
158,103,Blue,Q3,Food,Online,549.77,8.25,50
159,10,Silver,Q2,Food,Swipe,404.85,6.07,75
160,583,Blue,Q1,Travel,Swipe,145.15,2.18,50
161,90,Silver,Q2,Food,Chip,107.95,1.62,75
162,226,Blue,Q1,Fuel,Chip,551.34,8.27,50
163,670,Gold,Q4,Travel,Chip,165.38,2.48,120
164,740,Blue,Q1,Travel,Swipe,35.46,0.53,50
165,917,Blue,Q3,Grocery,Chip,415.17,6.23,50
166,126,Blue,Q2,Travel,Swipe,402.78,6.04,50
167,956,Blue,Q2,Entertainment,Swipe,274.96,4.12,50
168,209,Platinum,Q3,Grocery,Swipe,487.19,7.31,200
169,97,Silver,Q4,Grocery,Chip,343.84,5.16,75
170,74,Blue,Q4,Fuel,Chip,506.24,7.59,50
171,627,Blue,Q3,Grocery,Swipe,312.8,4.69,50
172,191,Blue,Q2,Bills,Swipe,68.27,1.02,50
173,682,Silver,Q1,Food,Swipe,133.56,2.0,75
174,819,Silver,Q4,Food,Swipe,250.11,3.75,75
175,960,Blue,Q1,Travel,Swipe,254.36,3.82,50
176,716,Silver,Q2,Fuel,Chip,172.38,2.59,75
177,56,Silver,Q1,Food,Chip,123.82,1.86,75
178,720,Platinum,Q3,Bills,Online,37.07,0.56,200
179,553,Gold,Q4,Fuel,Swipe,338.05,5.07,120
180,32,Silver,Q4,Entertainment,Swipe,316.69,4.75,75
181,527,Silver,Q3,Food,Swipe,199.96,3.0,75
182,574,Blue,Q3,Grocery,Chip,200.71,3.01,50
183,667,Gold,Q4,Bills,Swipe,686.66,10.3,120
184,284,Blue,Q4,Bills,Chip,151.61,2.27,50
185,721,Blue,Q4,Food,Swipe,159.35,2.39,50
186,832,Blue,Q2,Travel,Swipe,751.72,11.28,50
187,494,Gold,Q2,Entertainment,Swipe,215.77,3.24,120
188,187,Blue,Q2,Grocery,Chip,329.5,4.94,50
189,498,Blue,Q1,Entertainment,Chip,203.44,3.05,50
190,442,Blue,Q2,Entertainment,Swipe,418.26,6.27,50
191,130,Blue,Q4,Food,Swipe,233.29,3.5,50
192,639,Blue,Q2,Grocery,Swipe,969.29,14.54,50
193,292,Gold,Q4,Food,Chip,573.94,8.61,120
194,114,Gold,Q3,Food,Swipe,277.5,4.16,120
195,199,Blue,Q1,Travel,Swipe,166.85,2.5,50
196,13,Gold,Q1,Bills,Swipe,199.34,2.99,120
197,271,Silver,Q3,Travel,Chip,261.17,3.92,75
198,601,Blue,Q4,Travel,Swipe,524.17,7.86,50
199,215,Silver,Q1,Food,Chip,288.63,4.33,75
200,444,Platinum,Q2,Travel,Swipe,180.41,2.71,200
201,790,Blue,Q4,Travel,Swipe,313.26,4.7,50
202,512,Blue,Q1,Fuel,Swipe,359.62,5.39,50
203,447,Gold,Q3,Grocery,Swipe,138.62,2.08,120
204,986,Silver,Q4,Bills,Chip,348.78,5.23,75
205,993,Blue,Q1,Grocery,Swipe,293.0,4.39,50
206,715,Blue,Q3,Bills,Swipe,751.51,11.27,50
207,74,Blue,Q4,Fuel,Swipe,110.72,1.66,50
208,537,Gold,Q2,Food,Chip,438.92,6.58,120
209,101,Blue,Q4,Bills,Swipe,227.01,3.41,50
210,176,Blue,Q2,Bills,Swipe,448.72,6.73,50
211,427,Silver,Q4,Bills,Swipe,282.51,4.24,75
212,117,Blue,Q3,Fuel,Chip,618.58,9.28,50
213,166,Blue,Q2,Grocery,Swipe,139.71,2.1,50
214,41,Blue,Q2,Fuel,Chip,449.16,6.74,50
215,429,Gold,Q4,Bills,Swipe,605.25,9.08,120
216,344,Blue,Q1,Travel,Swipe,711.4,10.67,50
217,424,Silver,Q2,Bills,Swipe,885.34,13.28,75
218,366,Blue,Q4,Travel,Swipe,443.84,6.66,50
219,120,Blue,Q3,Food,Chip,435.57,6.53,50
220,609,Blue,Q4,Fuel,Swipe,52.89,0.79,50
221,657,Blue,Q4,Travel,Swipe,53.77,0.81,50
222,728,Gold,Q2,Fuel,Chip,548.53,8.23,120
223,229,Blue,Q1,Entertainment,Swipe,57.99,0.87,50
224,825,Silver,Q3,Grocery,Swipe,1303.82,19.56,75
225,130,Blue,Q2,Entertainment,Chip,373.45,5.6,50
226,352,Platinum,Q2,Travel,Swipe,86.67,1.3,200
227,889,Silver,Q2,Entertainment,Chip,232.58,3.49,75
228,318,Silver,Q3,Grocery,Swipe,237.44,3.56,75
229,984,Blue,Q1,Travel,Swipe,365.36,5.48,50
230,649,Blue,Q3,Food,Swipe,418.26,6.27,50
231,836,Blue,Q3,Food,Chip,645.64,9.68,50
232,337,Gold,Q1,Grocery,Swipe,88.09,1.32,120
233,273,Blue,Q3,Grocery,Swipe,207.58,3.11,50
234,117,Silver,Q4,Travel,Chip,95.88,1.44,75
235,818,Silver,Q3,Fuel,Swipe,254.86,3.82,75
236,368,Blue,Q2,Travel,Chip,216.85,3.25,50
237,94,Silver,Q3,Fuel,Swipe,104.25,1.56,75
238,168,Silver,Q2,Fuel,Swipe,82.69,1.24,75
239,954,Silver,Q3,Fuel,Swipe,1024.96,15.37,75
240,715,Blue,Q2,Travel,Swipe,323.19,4.85,50
241,341,Blue,Q2,Bills,Chip,167.39,2.51,50
242,661,Blue,Q2,Bills,Chip,112.2,1.68,50
243,914,Gold,Q1,Food,Swipe,756.3,11.34,120
244,695,Silver,Q3,Bills,Chip,174.38,2.62,75
245,925,Blue,Q3,Bills,Swipe,538.47,8.08,50
246,152,Gold,Q4,Fuel,Chip,374.38,5.62,120
247,586,Blue,Q4,Fuel,Chip,257.3,3.86,50
248,877,Gold,Q4,Grocery,Swipe,92.9,1.39,120
249,913,Platinum,Q3,Fuel,Swipe,140.12,2.1,200
250,274,Gold,Q1,Travel,Chip,1265.71,18.99,120
251,554,Gold,Q2,Grocery,Swipe,276.56,4.15,120
252,496,Blue,Q3,Grocery,Chip,445.09,6.68,50
253,724,Blue,Q1,Bills,Swipe,278.37,4.18,50
254,101,Silver,Q1,Fuel,Swipe,645.63,9.68,75
255,557,Blue,Q3,Bills,Swipe,144.88,2.17,50
256,82,Blue,Q2,Fuel,Swipe,221.16,3.32,50
257,529,Silver,Q1,Bills,Swipe,206.73,3.1,75
258,73,Blue,Q3,Bills,Swipe,368.74,5.53,50
259,14,Gold,Q2,Bills,Swipe,797.57,11.96,120
260,433,Gold,Q4,Travel,Chip,166.64,2.5,120
261,157,Gold,Q1,Food,Swipe,310.6,4.66,120
262,735,Silver,Q1,Bills,Chip,588.74,8.83,75
263,132,Gold,Q3,Entertainment,Swipe,141.49,2.12,120
264,338,Gold,Q3,Entertainment,Chip,600.32,9.0,120
265,404,Silver,Q2,Entertainment,Chip,470.44,7.06,75
266,376,Blue,Q4,Travel,Swipe,81.3,1.22,50
267,888,Gold,Q4,Grocery,Chip,218.24,3.27,120
268,559,Gold,Q3,Bills,Swipe,217.84,3.27,120
269,107,Blue,Q3,Entertainment,Swipe,224.27,3.36,50
270,620,Blue,Q2,Travel,Chip,126.98,1.9,50
271,265,Silver,Q3,Grocery,Swipe,182.02,2.73,75
272,205,Blue,Q2,Entertainment,Swipe,322.13,4.83,50
273,79,Gold,Q2,Fuel,Swipe,1092.34,16.39,120
274,155,Platinum,Q4,Food,Chip,391.12,5.87,200
275,783,Blue,Q2,Bills,Chip,685.7,10.29,50
276,988,Silver,Q4,Food,Swipe,384.78,5.77,75
277,997,Blue,Q4,Food,Online,154.04,2.31,50
278,247,Silver,Q4,Fuel,Chip,613.44,9.2,75
279,531,Blue,Q3,Fuel,Online,365.83,5.49,50
280,858,Silver,Q4,Fuel,Swipe,634.61,9.52,75
281,948,Blue,Q2,Grocery,Chip,178.76,2.68,50
282,538,Blue,Q3,Entertainment,Chip,122.37,1.84,50
283,729,Blue,Q2,Bills,Swipe,298.46,4.48,50
284,154,Blue,Q3,Fuel,Online,514.89,7.72,50
285,154,Blue,Q2,Travel,Swipe,117.48,1.76,50
286,686,Blue,Q1,Bills,Swipe,132.29,1.98,50
287,92,Blue,Q1,Bills,Chip,707.94,10.62,50
288,433,Gold,Q1,Bills,Online,133.72,2.01,120
289,338,Gold,Q2,Fuel,Swipe,123.77,1.86,120
290,480,Gold,Q3,Fuel,Swipe,390.98,5.86,120
291,693,Gold,Q4,Entertainment,Chip,182.6,2.74,120
292,131,Blue,Q4,Fuel,Chip,216.11,3.24,50
293,450,Blue,Q2,Fuel,Swipe,269.18,4.04,50
294,993,Blue,Q2,Bills,Chip,69.13,1.04,50
295,810,Gold,Q2,Entertainment,Chip,56.06,0.84,120
296,787,Platinum,Q2,Food,Swipe,352.28,5.28,200
297,273,Blue,Q4,Fuel,Online,165.61,2.48,50
298,929,Blue,Q3,Travel,Swipe,552.56,8.29,50
299,588,Blue,Q4,Fuel,Swipe,279.99,4.2,50
300,177,Silver,Q2,Food,Swipe,148.17,2.22,75
301,696,Silver,Q1,Bills,Swipe,806.36,12.1,75
302,831,Blue,Q4,Entertainment,Chip,177.94,2.67,50
303,643,Blue,Q1,Bills,Online,175.51,2.63,50
304,875,Silver,Q1,Grocery,Chip,76.95,1.15,75
305,49,Silver,Q2,Fuel,Chip,158.15,2.37,75
306,567,Blue,Q4,Travel,Swipe,238.35,3.58,50
307,666,Gold,Q3,Grocery,Chip,72.11,1.08,120
308,355,Blue,Q4,Fuel,Swipe,128.09,1.92,50
309,712,Gold,Q3,Grocery,Swipe,639.82,9.6,120
310,308,Gold,Q3,Food,Swipe,126.19,1.89,120
311,868,Blue,Q2,Fuel,Chip,176.67,2.65,50
312,885,Blue,Q3,Travel,Online,358.12,5.37,50
313,630,Silver,Q4,Fuel,Chip,381.85,5.73,75
314,775,Blue,Q4,Grocery,Swipe,193.17,2.9,50
315,46,Gold,Q1,Entertainment,Swipe,527.41,7.91,120
316,302,Silver,Q3,Grocery,Swipe,561.39,8.42,75
317,868,Gold,Q2,Fuel,Swipe,149.43,2.24,120
318,912,Blue,Q2,Fuel,Swipe,97.82,1.47,50
319,408,Blue,Q4,Entertainment,Chip,124.82,1.87,50
320,189,Silver,Q3,Bills,Online,370.97,5.56,75
321,822,Blue,Q2,Entertainment,Swipe,154.92,2.32,50
322,830,Silver,Q3,Bills,Swipe,157.99,2.37,75
323,129,Gold,Q3,Travel,Chip,249.8,3.75,120
324,561,Blue,Q1,Fuel,Chip,173.41,2.6,50
325,537,Silver,Q2,Food,Chip,398.13,5.97,75
326,266,Blue,Q1,Food,Swipe,163.88,2.46,50
327,118,Blue,Q2,Grocery,Swipe,521.06,7.82,50
328,464,Platinum,Q3,Entertainment,Online,496.04,7.44,200
329,144,Platinum,Q2,Entertainment,Swipe,503.4,7.55,200
330,442,Blue,Q4,Food,Chip,189.26,2.84,50
331,200,Gold,Q3,Bills,Swipe,217.56,3.26,120
332,157,Blue,Q2,Entertainment,Swipe,826.34,12.4,50
333,487,Blue,Q1,Bills,Chip,214.35,3.22,50
334,860,Blue,Q1,Bills,Swipe,180.28,2.7,50
335,134,Gold,Q3,Bills,Chip,305.12,4.58,120
336,912,Blue,Q1,Bills,Swipe,437.12,6.56,50
337,148,Blue,Q3,Grocery,Online,572.08,8.58,50
338,336,Blue,Q3,Grocery,Swipe,129.38,1.94,50
339,71,Silver,Q3,Food,Swipe,121.39,1.82,75
340,233,Blue,Q2,Grocery,Swipe,25.45,0.38,50
341,334,Blue,Q3,Travel,Chip,454.07,6.81,50
342,811,Blue,Q1,Entertainment,Chip,411.65,6.17,50
343,666,Silver,Q4,Travel,Swipe,262.72,3.94,75
344,90,Silver,Q2,Grocery,Swipe,277.64,4.16,75
345,334,Blue,Q1,Entertainment,Chip,205.91,3.09,50
346,199,Silver,Q3,Entertainment,Chip,594.75,8.92,75
347,161,Blue,Q3,Bills,Chip,266.14,3.99,50
348,538,Gold,Q4,Food,Chip,575.56,8.63,120
349,121,Blue,Q1,Bills,Swipe,232.32,3.48,50
350,301,Blue,Q2,Bills,Swipe,134.9,2.02,50
351,724,Blue,Q1,Travel,Swipe,91.08,1.37,50
352,575,Gold,Q3,Grocery,Online,230.19,3.45,120
353,963,Gold,Q2,Travel,Swipe,271.78,4.08,120
354,436,Blue,Q3,Grocery,Swipe,171.2,2.57,50
355,68,Silver,Q3,Travel,Chip,167.5,2.51,75
356,765,Blue,Q1,Entertainment,Swipe,85.31,1.28,50
357,922,Blue,Q4,Grocery,Chip,382.4,5.74,50
358,459,Blue,Q3,Grocery,Chip,427.44,6.41,50
359,514,Silver,Q1,Travel,Online,418.06,6.27,75
360,398,Silver,Q2,Fuel,Swipe,567.03,8.51,75
361,620,Blue,Q4,Entertainment,Swipe,456.87,6.85,50
362,286,Blue,Q3,Entertainment,Chip,279.99,4.2,50
363,561,Blue,Q3,Fuel,Swipe,584.5,8.77,50
364,140,Blue,Q2,Travel,Swipe,89.83,1.35,50
365,730,Blue,Q1,Travel,Chip,549.29,8.24,50
366,556,Blue,Q3,Entertainment,Swipe,224.51,3.37,50
367,929,Blue,Q2,Travel,Chip,212.15,3.18,50
368,781,Blue,Q3,Food,Chip,553.33,8.3,50
369,590,Blue,Q1,Food,Swipe,107.87,1.62,50
370,728,Blue,Q4,Fuel,Swipe,64.87,0.97,50
371,894,Blue,Q1,Grocery,Swipe,195.86,2.94,50
372,610,Silver,Q1,Food,Swipe,543.33,8.15,75
373,748,Blue,Q1,Travel,Chip,122.25,1.83,50
374,282,Silver,Q2,Fuel,Swipe,102.36,1.54,75
375,661,Blue,Q3,Food,Swipe,429.95,6.45,50
376,924,Blue,Q4,Bills,Chip,173.11,2.6,50
377,816,Blue,Q2,Fuel,Swipe,207.39,3.11,50
378,996,Blue,Q1,Entertainment,Swipe,795.14,11.93,50
379,936,Blue,Q4,Food,Online,133.04,2.0,50
380,578,Gold,Q1,Entertainment,Swipe,116.47,1.75,120
381,746,Blue,Q1,Fuel,Chip,139.81,2.1,50
382,457,Blue,Q1,Food,Chip,59.31,0.89,50
383,87,Silver,Q4,Entertainment,Chip,121.62,1.82,75
384,79,Blue,Q3,Grocery,Chip,494.98,7.42,50
385,205,Gold,Q1,Grocery,Swipe,301.39,4.52,120
386,791,Blue,Q3,Bills,Chip,795.14,11.93,50
387,337,Platinum,Q4,Travel,Chip,236.78,3.55,200
388,254,Blue,Q4,Fuel,Swipe,291.86,4.38,50
389,304,Blue,Q1,Travel,Swipe,181.7,2.73,50
390,380,Gold,Q3,Travel,Chip,496.04,7.44,120
391,130,Blue,Q3,Entertainment,Swipe,795.03,11.93,50
392,596,Blue,Q1,Bills,Chip,330.51,4.96,50
393,276,Silver,Q2,Fuel,Swipe,97.05,1.46,75
394,699,Blue,Q2,Grocery,Swipe,467.36,7.01,50
395,558,Blue,Q4,Travel,Swipe,292.32,4.38,50
396,899,Silver,Q4,Entertainment,Swipe,35.05,0.53,75
397,183,Blue,Q2,Travel,Swipe,123.48,1.85,50
398,268,Gold,Q2,Food,Swipe,398.46,5.98,120
399,808,Platinum,Q2,Grocery,Chip,556.12,8.34,200
400,322,Blue,Q1,Travel,Chip,288.57,4.33,50
401,512,Blue,Q1,Food,Chip,408.43,6.13,50
402,612,Blue,Q1,Food,Chip,903.39,13.55,50
403,78,Blue,Q1,Entertainment,Swipe,585.01,8.78,50
404,784,Gold,Q1,Entertainment,Chip,88.78,1.33,120
405,339,Blue,Q1,Food,Swipe,551.37,8.27,50
406,674,Blue,Q4,Bills,Swipe,218.5,3.28,50
407,556,Gold,Q3,Travel,Swipe,78.12,1.17,120
408,509,Gold,Q4,Food,Swipe,441.08,6.62,120
409,238,Blue,Q3,Food,Swipe,48.76,0.73,50
410,134,Blue,Q4,Entertainment,Swipe,401.26,6.02,50
411,973,Silver,Q4,Travel,Swipe,206.75,3.1,75
412,192,Platinum,Q1,Fuel,Online,295.21,4.43,200
413,356,Silver,Q1,Grocery,Swipe,661.64,9.92,75
414,278,Blue,Q3,Entertainment,Chip,243.94,3.66,50
415,18,Blue,Q3,Travel,Swipe,126.37,1.9,50
416,524,Blue,Q1,Travel,Swipe,219.59,3.29,50
417,180,Blue,Q4,Bills,Swipe,315.46,4.73,50
418,123,Gold,Q3,Grocery,Swipe,99.96,1.5,120
419,246,Gold,Q2,Entertainment,Chip,212.49,3.19,120
420,734,Platinum,Q2,Entertainment,Swipe,476.41,7.15,200
421,373,Blue,Q2,Fuel,Swipe,490.48,7.36,50
422,51,Silver,Q3,Bills,Swipe,552.82,8.29,75
423,1000,Gold,Q1,Bills,Swipe,230.83,3.46,120
424,71,Silver,Q1,Travel,Chip,191.92,2.88,75
425,480,Blue,Q1,Travel,Swipe,421.86,6.33,50
426,560,Blue,Q3,Entertainment,Swipe,672.04,10.08,50
427,19,Gold,Q3,Fuel,Swipe,414.39,6.22,120
428,774,Blue,Q2,Entertainment,Swipe,242.24,3.63,50
429,84,Gold,Q3,Food,Swipe,52.53,0.79,120
430,155,Blue,Q2,Travel,Swipe,611.43,9.17,50
431,565,Silver,Q2,Food,Swipe,309.58,4.64,75
432,619,Silver,Q1,Fuel,Chip,145.4,2.18,75
433,357,Silver,Q3,Entertainment,Chip,377.5,5.66,75
434,816,Blue,Q1,Travel,Swipe,337.76,5.07,50
435,647,Gold,Q1,Fuel,Swipe,346.52,5.2,120
436,443,Silver,Q3,Entertainment,Swipe,95.84,1.44,75
437,69,Blue,Q3,Entertainment,Chip,346.49,5.2,50
438,523,Silver,Q4,Food,Swipe,165.59,2.48,75
439,143,Blue,Q2,Grocery,Online,493.05,7.4,50
440,192,Blue,Q4,Bills,Swipe,111.63,1.67,50
441,387,Blue,Q2,Travel,Swipe,344.48,5.17,50
442,378,Gold,Q2,Bills,Chip,101.91,1.53,120
443,581,Blue,Q2,Fuel,Swipe,278.86,4.18,50
444,535,Silver,Q1,Bills,Swipe,222.41,3.34,75
445,693,Blue,Q1,Food,Swipe,646.72,9.7,50
446,293,Blue,Q3,Grocery,Swipe,426.59,6.4,50
